GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP002791	0.868	0.297	0.803	0.175	0.685	0.055	0.604	0.635	0.272	0.006	0.755	0.029	0.309	0.145	0.745	0.054	0.49	0.554	""	tRNA-dihydrouridine synthase 4 [Source:VB Community Annotation]
AGAP028578	0.868	0.349		0.967	0.764	0.66	0.785	0.93	0.018	0.011	0.018	0.08	0.251			0.22	0	0	""	""
AGAP009025	0.869	0.815	0.532	0.001	0.026	0.89	0.534	0.852	0.98	0.655	0.005	0.706	0.004	0.764	0.002	0	0.921	0	""	""
AGAP012381	0.869	0.625	0.666	0.006	0.04	0.97	0.086	0.563	0.002	0.177	0.148	0.81	0.748	0.353	0.337	0.958	0.865	0.024	""	Major facilitator superfamily domain containing 8 [Source:VB Community Annotation]
AGAP003713	0.869	0.936	0	0.003	0	0.529	0	0.254	0	0.988	0.714	0.953		0.541	0.917	0	0.028	0.001	""	""
AGAP007395	0.869	0.773	0.007	0.297	0.093	0.516	0.663	0.711	0.969	0.417	0.03	0.056	0.001	0.423	0.057	0.022	0.946	0	""	DIS3-like exonuclease 2 [Source:UniProtKB/TrEMBL;Acc:Q7QJB5]
AGAP000133	0.869	0.396	0.022	0.196	0.408	0.237	0.077	0.342	0.274	0.523	0.089	0.501	0	0.034	0	0.161	0.004	0	""	""
AGAP007376	0.87	0.185	0.898	0.631	0.388	0.95	0.28	0.927	0.95	0.082	0.872	0.006	0.883	0	0.398	0.349	0.644	0.152	""	nuclear transcription factor Y, alpha [Source:VB Community Annotation]
AGAP008886	0.87	0.775	0.873	0.254	0.842	0.956	0.515		0.789	0.558	0.802	0.445	0.675	0.551	0.777	0.094	0.293	0.098	""	Tetraspanin [Source:UniProtKB/TrEMBL;Acc:Q7PWQ3]
AGAP011247	0.871	0.233	0.23	0	0	0.894	0.149	0.461	0.402	0.24	0	0.182	0	0.081	0	0.063	0.026	0.458	""	Longitudinals lacking protein-like [Source:VB Community Annotation]
AGAP000669	0.871	0.518	0	0.045	0.238	0.074	0.452	0.173	0.208	0.002	0	0.003	0	0.002	0	0.788	0.001	0.954	""	""
AGAP009823	0.872	0.176	0.683	0	0	0.211	0.105	0.085	0.038	0.21	0.008	0.16	0.003	0.22	0.009	0.351	0.038	0.062	""	""
AGAP002021	0.872	0.17	0	0.031	0.066	0.068	0	0	0	0.741	0.326	0.896	0.794	0.997	0.73	0.345	0.921	0.611	""	lysophosphatidate acyltransferase [Source:VB Community Annotation]
AGAP004203	0.872	0.355	0.002	0.315	0.569	0.38	0.014	0	0.006	0.177	0.007	0.047	0.009	0.217	0.021	0.001	0	0.051	Vg	vitellogenin [Source:VB Community Annotation]
AGAP006057	0.872	0.872	0	0.675	0.014	0.251	0	0.01	0.058	0.045	0.187	0.004	0.027	0.025	0.052	0.014	0.237	0	""	multiple coagulation factor deficiency 2 [Source:VB Community Annotation]
AGAP011286	0.872	0.001	0.674	0.919	0.133	0.003	0.02	0.543	0.036	0.107	0.278	0.706	0.12	0.007	0.577	0.361	0.294	0.012	""	optic atrophy protein 1 [Source:VB Community Annotation]
AGAP003845	0.872	0	0.002	0.073	0.055	0.816	0.831	0.901	0.6	0.097	0.092	0.977	0.001	0.674	0	0	0.472	0.001	""	bromodomain-containing protein 8 [Source:VB Community Annotation]
AGAP005048	0.872	0.238	0.211	0.347	0.944	0.42	0.772	0.679	0.144	0.179	0.583	0.034	0.293	0.039	0.318	0.208	0.534	0.001	""	anaphase-promoting complex subunit 2 [Source:VB Community Annotation]
AGAP002047	0.873	0	0.13	0.865	0	0.222	0.004	0.009	0.131	0.931	0.003	0.179	0	0.886	0.085	0.027	0.007	0.069	""	atlastin [Source:VB Community Annotation]
AGAP005423	0.873	0.996	0.018	0.533	0.191	0.57	0.272	0.28	0.001	0.93	0.162	0.878	0.063	0.195	0.514	0.978	0.822	0.019	Prosalpha4	26S proteasome alpha 4 subunit [Source:VB Community Annotation]
AGAP012377	0.873	0.239	0.841	0.893	0.053	0.386	0.952	0.27	0.513	0.801	0.148	0.363	0.777	0.463	0.482	0.16	0.188	0.199	""	""
AGAP002932	0.873	0.122	0.029	0.202	0.835	0.697	0.612	0.807	0.982	0.927	0.98	0.482	0.634	0.101	0.178	0.159	0.441	0.911	""	ceramide kinase [Source:VB Community Annotation]
AGAP003553	0.873	0.404	0.034	0.118	0.763	0.755	0.002	0.461	0.067	0.705	0.525	0.662	0.414	0.13	0.8	0.797	0.895	0.588	""	Transmembrane emp24 protein transport domain containing 9 [Source:VB Community Annotation]
AGAP004840	0.873	0.972	0.269	0.704	0.726	0.645	0.79	0.33	0.151	0.881	0.011	0.854	0.02	0.746	0.056	0.97	0.279	0	""	photosystem I assembly BtpA [Source:VB Community Annotation]
AGAP005047	0.873	0.144	0.977	0.316	0.237	0.865	0.412	0.139	0.738	0.262	0.459	0.79	0.176	0.263	0.763	0.623	0.18	0.064	Gr43	gustatory receptor 43 [Source:VB Community Annotation]
AGAP006000	0.873	0	0.425	0.31	0	0.401	0.945	0.122	0.009	0	0	0	0	0	0	0.336	0.884	0	CPR25	cuticular protein RR-1 family 25 [Source:VB Community Annotation]
AGAP006800	0.873	0.598	0.16	0.104	0.498	0.409	0	0.911	0.981	0.246	0.947	0.147	0.963	0.304	0.947	0.88	0.987	0.005	""	""
AGAP007100	0.873	0.477	0.044	0.551	0	0.968	0.664	0.002	0.001	0.16	0.572	0.963	0.453	0.772	0.336	0	0	0	""	""
AGAP007671	0.873	0.256	0.431	0.448	0.714	0.382	0.549	0.239	0.032	0.618	0.461	0.112	0.991	0.54	0.528	0.276	0.123	0.477	""	""
AGAP010438	0.873	0.779	0.004	0.01	0.021	0.776	0.13	0.097	0.035	0.206	0.089	0.827	0.001	0.32	0.039	0	0.096	0.015	""	nuclear receptor subfamily 0 group A [Source:VB Community Annotation]
AGAP012192	0.873	0.263	0.565	0.963	0.5	0.8	0.481	0.343	0.707	0.146	0.087	0.347	0.005	0.548	0.018	0	0.685	0	""	DNA mismatch repair protein MLH1 [Source:VB Community Annotation]
AGAP012953	0.873	0.75	0.216	0.026	0.986	0.037	0.067	0	0	0.322	0	0.091	0	0.751	0	0.046	0.001	0.01	""	epidermal retinal dehydrogenase [Source:VB Community Annotation]
AGAP013164	0.873	0.541		0.165												0.214	0.751	0.793	""	""
AGAP013197	0.873	0.359	0.817	0.82	0.951	0.899	0.873	0.315	0.042	0.063	0.39	0.52	0.142	0.655	0.066	0.893	0.527	0.126	""	""
AGAP013465	0.873	0.113	0.931	0.343	0.558	0.891	0.464	0.235	0.683	0.058	0.26	0.755	0.8	0.421	0.847	0.674	0.17	0.859	CPLCP1	cuticular protein (putative) CPLCP1 [Source:VB Community Annotation]
AGAP001008	0.873	0.385			0.83	0.545	0.439			0.969	0.209	0.469	0.02	0.945	0.118	0.441	0.643	0.528	""	""
AGAP002398	0.873	0.69		0.947	0.051	0.935	0.83		0.801	0.4	0.981	0.787	0.487	0.852	0.58	0.972	0.845	0.173	""	""
AGAP005460	0.873	0.813	0.028	0.769	0.968	0.027	0.116	0.248	0.582	0.212	0.003	0.045	0.011	0.076	0.114	0.052	0.454	0.542	""	phosphopantetheine adenylyltransferase / dephospho-CoA kinase [Source:VB Community Annotation]
AGAP028213	0.873	0.053		0.974	0.333							0.804				0.838	0.829	0.668	""	""
AGAP028565	0.873	0.074	0.142	0.754	0.008	0.47	0.439	0.429	0.645	0.906	0.945	0.991	0.986	0.667	0.734	0.457	0.546	0.002	""	""
AGAP003664	0.873	0.083	0.229	0.143	0.714	0.463	0.642		0.566	0.322	0.927	0.687	0.708	0.523	0.825	0.003	0.352	0.29	""	Envelysin [Source:VB Community Annotation]
AGAP004054	0.874	0.956		0.385	0.981		0.898			0.007	0.01	0.018	0.016	0.314	0.756	0.573	0.159	0.107	""	Sphingomyelin phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:Q7QH66]
AGAP011144	0.874	0.911		0.68	0.976		0.932			0.524	0.719	0.744	0.866	0.884	0.81	0.884	0.413	0.005	""	""
AGAP009034	0.875	0.785	0.869	0.17	0.044	0.58	0.64	0.931	0.659	0.105	0.001	0.047	0	0.018	0	0.626	0.692	0.51	""	doublecortin and CaM kinase-like 1 [Source:VB Community Annotation]
AGAP009333	0.875	0	0	0.084	0.885	0.065	0.003	0.003	0.001	0	0.187	0.091	0.778	0.004	0.308	0.719	0.095	0	""	mitochondrial carrier protein (Rim2) [Source:VB Community Annotation]
AGAP000876	0.875	0.594	0.313	0.888	0.847	0.695	0.734	0.708	0.248	0.887	0.866	0.977	0.729	0.828	0.546	0.346	0.887	0.2	""	achaete-scute complex protein [Source:VB Community Annotation]
AGAP000859	0.875	0.493	0.001	0.472	0.848	0.865	0.101	0.525	0.151	0.199	0.163	0.398	0.335	0.038	0.027	0.378	0.092	0.833	""	""
AGAP003794	0.875	0.871	0.985	0	0.192	0.092	0.225	0.946	0.727	0.289	0.154	0.095	0.723	0.009	0.702	0.008	0.339	0	""	splicing factor, proline- and glutamine-rich [Source:VB Community Annotation]
AGAP004049	0.875	0.038	0.006	0.594	0.911	0.609	0.956	0.475	0.76	0.066	0.037	0.066	0.057	0.682	0.033	0.957	0.479	0.158	""	MAD, mothers against decapentaplegic interacting protein [Source:VB Community Annotation]
AGAP011169	0.876	0.373	0.766	0.001	0.34	0.039	0.015	0	0	0	0	0.003	0.039	0.222	0	0	0.996	0	""	""
AGAP013379	0.876	0.781									0.801					0.179	0.651	0.865	""	""
AGAP029086	0.876	0.918	0.918	0.001	0.001	0	0	0.007	0	0.093	0.879	0.046	0.829	0.063	0.747	0.009	0.58	0	""	""
AGAP010658	0.876	0.869	0.051	0.001	0	0	0	0	0	0.386	0.401	0.001	0.002	0.031	0.038	0	0.001	0	""	""
AGAP011910	0.877	0.922	0.928	0.197	0.578	0.875	0.85		0.452	0.244	0.012	0.342	0.032	0.564	0.063	0.188	0.336	0.381	""	""
AGAP010287	0.877	0.812	0.55	0	0.042	0.914	0.786		0.908							0	0.487	0.275	""	""
AGAP002917	0.877	0.972	0.672	0.224	0.98	0.367	0.511	0.926	0.828	0.252	0.388	0.308	0.422	0.115	0.215	0.818	0.798	0.916	mRpL34	39S ribosomal protein L34, mitochondrial [Source:VB Community Annotation]
AGAP010027	0.877	0.288		0.009	0.053		0.578		0.131	0.221	0.737	0.318	0.566	0.416	0.388	0.299	0.268	0	""	""
AGAP010607	0.877	0.789	0.024	0	0.765	0.438	0.153	0.021	0.198	0.167	0.672	0.493	0.853	0.217	0.681	0.729	0.163	0.078	""	""
AGAP003178	0.877	0.011	0.695	0	0.237	0.507	0.815	0.828	0.077	0.058	0.937	0.167	0.249	0.001	0.573	0.551	0.92	0.136	GRX2	glutaredoxin [Source:VB Community Annotation]
AGAP010409	0.877	0.001	0.065	0.029	0.01	0.017	0	0.119	0.019	0.832	0.714	0.242	0.67	0.11	0.404	0.03	0.003	0	OBP22	odorant-binding protein 22 [Source:VB Community Annotation]
AGAP003005	0.877	0	0.018	0.586	0.001	0.916	0.281	0.469	0.017	0.903	0.004	0.636	0.063	0.924	0.01	0.002	0.029	0.054	""	serine/threonine-protein kinase SIK [Source:VB Community Annotation]
AGAP006178	0.877	0	0	0.823	0.052	0.172	0.971	0	0.006	0.298	0.001	0.006	0	0.493	0.007	0.015	0.004	0	""	troponin C [Source:VB Community Annotation]
AGAP005650	0.877	0.874	0.01	0.253	0.448	0.983	0.465	0.835	0.474	0.487	0.236	0.176	0.298	0.793	0.055	0.736	0.894	0.269	""	(acyl-carrier-protein) S-malonyltransferase [Source:VB Community Annotation]
AGAP001932	0.878	0.041	0.003	0.058	0.021	0.397	0.756	0.775	0.493	0.725	0.967	0.222	0.369	0.848	0.841	0	0.432	0.034	""	metalloendopeptidase [Source:VB Community Annotation]
AGAP005467	0.878	0.008	0.047	0.012	0.644	0.871	0.033	0.171	0.067	0	0.077	0.006	0.033	0	0.002	0.265	0.989	0	""	vigilin [Source:VB Community Annotation]
AGAP001598	0.878															0.434	0.309	0.145	""	""
AGAP013302	0.878	0	0.006	0	0.033	0.473	0.622	0.925	0.566	0.256	0.001	0.737	0	0.631	0	0.763	0.703	0	""	""
AGAP005947	0.878	0.455	0.071	0.002	0.419	0.723	0.018	0.759	0.513	0.501	0.825	0.387	0.893	0.478	0.847	0.439	0.478	0.966	RpS13	40S ribosomal protein S13 [Source:UniProtKB/Swiss-Prot;Acc:P52811]
AGAP004117	0.878	0	0	0.704	0	0.743	0.788	0.191	0.021	0.114	0.485	0.1	0.407	0.003	0.042	0.979	0.972	0.773	""	G protein-coupled receptor kinase [Source:VB Community Annotation]
AGAP012602	0.878	0.379	0.152	0	0.905	0.918	0.785		0.918	0.826	0.005	0.953	0	0.967	0.002	0.486	0.485	0.27	""	""
AGAP003440	0.878	0.936	0.019	0	0.726	0.308	0.658	0.201	0	0.615	0.001	0.902	0.043	0.43	0	0.099	0.43	0.031	""	""
AGAP005475	0.878	0.118	0.006	0.01	0.001	0.659	0.768	0.911	0.93	0.752	0.446	0.287	0.093	0.927	0.665	0.619	0.025	0.104	""	""
AGAP011847	0.878	0.291	0.996	0.954	0.417	0.286	0.682	0.032	0.087	0.005	0.021	0.017	0.078	0.01	0.055	0.171	0.055	0.001	""	""
AGAP006789	0.878	0.308	0.003	0.102	0.992	0.855	0.373	0.799	0.863	0.028	0.335	0.042	0.103	0.093	0.323	0.891	0.959	0	""	MIT domain-containing protein 1 [Source:VB Community Annotation]
AGAP013516	0.878	0.018	0.298	0.872	0.004	0.714	0.003	0.05	0.012	0.469	0.014	0.362	0.018	0.216	0.005	0.088	0.246	0	""	mitogen-activated protein kinase kinase kinase 7 [Source:VB Community Annotation]
AGAP002937	0.879	0.332	0.022	0	0.017	0.503	0.771			0.268	0.259	0.093	0.523	0.059	0.734	0.584	0.758	0	""	""
AGAP005004	0.879	0.272	0.97	0.057	0.14	0.246	0.012	0.142	0.371	0.808	0.748	0.455	0.932	0.702	0.251	0.856	0.791	0	""	kelch domain-containing protein 10 [Source:VB Community Annotation]
AGAP009167	0.879	0.043	0.065	0.76	0.183	0.671	0.015	0.263	0.106	0	0.001	0.011	0.036	0	0.001	0.367	0.89	0.002	""	""
AGAP007565	0.879	0.099	0.357	0.59	0.029	0.256	0.703	0.026	0.011	0.256	0.128	0.24	0.64	0.15	0.635	0.001	0.001	0	""	chaperone DnaJ protein [Source:VB Community Annotation]
AGAP005880	0.879	0.689	0.006	0.269	0.198	0.294	0.087	0.557	0.592	0.123	0.033	0.953	0.587	0.848	0.891	0.944	0.003	0.073	""	""
AGAP002733	0.879	0.428	0.092	0.276	0.502	0.988	0.959		0.637	0.017	0.586	0.17	0.975	0.362	0.694	0.92	0.602	0.724	""	""
AGAP005039	0.88	0.354	0.618	0.572	0	0.051	0.015	0.001	0	0.005	0.001	0.036	0.003	0.066	0.01	0.548	0.11	0	""	""
AGAP002534	0.88	0.391	0	0	0.075	0.368	0.016	0	0	0.377	0	0.248	0	0.066	0.007	0	0.006	0.367	""	dihydropteridine reductase [Source:VB Community Annotation]
AGAP011547	0.881	0.165	0.033	0.306	0.016	0.061	0.335	0.005	0.004	0.725	0.713	0.975	0.199	0.754	0.184	0.032	0.022	0.967	""	""
AGAP002598	0.881	0.876	0.642	0.162	0.278	0.303	0.09	0.064	0.011	0.502	0.253	0.407	0.172	0.264	0.09	0.26	0.015	0.958	""	""
AGAP004088	0.881	0.136	0.005	0.174	0	0.645	0.004	0.001	0.148	0.074	0.161	0.639	0.009	0.354	0.192	0.706	0.003	0.003	""	""
AGAP000951	0.881	0.442	0.633	0.486	0.269	0.962	0.584	0.834	0.871	0.882	0.789	0.708	0.929	0.926	0.717	0.824	0.035	0.028	""	""
AGAP006182	0.881	0.697	1	0.328	0.348	0	0.051			0.067	0.308	0.539	0.127	0.145	0.113	0.971	0.055	0	""	troponin C [Source:VB Community Annotation]
AGAP001493	0.881	0.823	0.267	0.815	0.947	0.38	0.001	0.861	0.352	0.771	0.299	0.118	0.94	0.266	0.678	0.56	0.978	0.015	""	""
AGAP006177	0.882	0.004	0.004	0.099	0	0	0	0	0	0	0.9	0	0.782	0	0.918	0.07	0.001	0	""	""
AGAP012144	0.882	0.907	0.581	0.081	0	0.669	0.228	0.292	0.108	0.89	0	0.373	0	0.207	0	0.247	0	0	""	endoplasmic reticulum-Golgi intermediate compartment protein 3 [Source:VB Community Annotation]
AGAP009222	0.882	0	0.188	0.026	0.413	0.183	0.084	0.856	0.695	0.637	0	0.435	0	0.597	0	0.703	0.066	0.022	""	DNA ligase 1 [Source:VB Community Annotation]
AGAP001459	0.882	0.107	0.141	0	0.414	0.924	0.13	0.923	0.643	0.367	0.738	0.185	0.995	0.335	0.746	0.798	0.293	0.021	RpL17	60S ribosomal protein L17 [Source:UniProtKB/Swiss-Prot;Acc:A0NGY0]
AGAP001483	0.882	0.641	0.47	0.359	0.228	0.463	0.183	0.573	0.277	0.997	0.004	0.153	0.12	0.43	0.097	0.008	0.01	0.002	""	""
AGAP002016	0.882	0.247	0.008	0.831	0.502	0.93	0.835	0.075	0.176	0.233	0.001	0.025	0	0.03	0	0.293	0.442	0.12	""	iron/zinc purple acid phosphatase-like protein precursor [Source:VB Community Annotation]
AGAP007767	0.882	0.068	0	0	0	0.24	0.015	0.607	0.976	0.9	0	0.069	0	0.031	0	0.19	0.331	0.85	""	""
AGAP012078	0.882	0.921	0.318	0	0.001	0.04	0.563	0.272	0.097	0.37	0.161	0.028	0.785	0.081	0.742	0	0.008	0.691	""	peptide chain release factor 1 [Source:VB Community Annotation]
AGAP001158	0.882	0.691	0	0.228	0.059	0.845	0.681	0.562	0.873	0.629	0.109	0.916	0.002	0.463	0	0.896	0.023	0	""	""
AGAP010220	0.882	0.002	0	0.019	0.487	0.001	0.009	0	0.004	0.311	0.005	0.896	0	0.856	0.001	0.083	0	0.805	""	Proliferating cell nuclear antigen [Source:UniProtKB/TrEMBL;Acc:Q7Q0Q0]
AGAP002092	0.883	0.963	0.363	0.031	0.602	0.198	0.005	0.254	0.002	0.828	0.303	0.813	0.619	0.489	0.941	0.642	0.915	0.157	""	Ras-related protein Rab-30 [Source:VB Community Annotation]
AGAP013506	0.883	0.118	0.001	0.032	0.002	0.624	0.497	0.643	0.092	0.257	0.604	0.065	0.843	0.288	0.436	0.038	0.032	0.001	""	""
AGAP006167	0.883	0.284	0.492	0.188	0.902	0.623	0.584	0.846	0.579	0.969	0.606	0.771	0.259	0.233	0.024	0.82	0.904	0.001	Or6	odorant receptor 6 [Source:VB Community Annotation]
AGAP007027	0.883	0.672	0	0	0.013	0.591	0.325	0.828	0.056	0.952	0.12	0.691	0.036	0.792	0.355	0.753	0.101	0.004	""	Usher syndrome type-1G protein-like protein [Source:VB Community Annotation]
AGAP009070	0.883	0.553	0	0.045	0.124	0.851	0.121	0.622	0.431	0.016	0	0.139	0.002	0.066	0.004	0	0.441	0.161	""	neuralized-like protein 2 [Source:VB Community Annotation]
AGAP001403	0.883	0.251	0.947	0.887	0	0.775	0	0.073	0.376	0.187	0.092	0.031	0.012	0.172	0.085	0	0	0.596	""	protein Mpv17 [Source:VB Community Annotation]
AGAP004689	0.883	0.917	0.722	0	0	0.272	0.465	0.045	0.018	0.8	0	0.869	0.012	0.272	0.052	0.991	0.329	0	""	""
AGAP005561	0.883	0.18	0.204	0	0.047	0.892	0.396	0.855	0.848	0.281	0.31	0.209	0.235	0.109	0.115	0.557	0.488	0.005	""	""
AGAP004240	0.883	0.147	0.125	0.021	0.014	0.438	0.808	0.56	0.429	0.719	0.089	0.216	0.014	0.893	0.307	0.071	0.05	0	CycC	cyclin C [Source:VB Community Annotation]
AGAP011455	0.883	0.791	0.024	0.685	0.05	0.136	0.138	0.003	0.001	0.283	0	0.691	0	0.702	0	0.877	0.402	0	""	""
AGAP000976	0.884	0.853		0.753	0	0.769	0.443		0.275							0.161	0.752	0	""	""
AGAP004685	0.884	0.106	0.001	0.37	0.623	0.02	0.002	0.384	0.001	0.052	0.014	0.962	0.702	0.482	0.763	0.003	0.889	0	""	DNA replication ATP-dependent helicase Dna2 [Source:VB Community Annotation]
AGAP004722	0.884	0.219	0.048	0.006	0.525	0.537	0.85	0.334	0.017	0.216	0	0.777	0.002	0.597	0	0.301	0.755	0	""	""
AGAP004910	0.884	0.325	0.012	0.24	0.527	0.901	0.999	0.899	0.854	0.355	0.315	0.034	0.024	0.011	0.006	0.952	0.077	0.81	""	arfaptin-2 [Source:VB Community Annotation]
AGAP028124	0.884	0.99		0.61	0.873	0.782	0.673		0.351	0.835	0.44	0.742	0.341	0.967	0.564	0.082		0.522	""	""
AGAP001861	0.884	0.894	0.718	0.33	0.407	0.943	0.809			0	0	0	0	0	0	0.652	0.5	0.358	CYP4H14	cytochrome P450 [Source:VB Community Annotation]
AGAP004579	0.884	0.997	0	0.131	0.337	0.781	0.83	0.068	0.044	0.167	0	0.828	0	0.922	0	0.243	0.014	0.002	cdk2	cyclin-dependent kinase 2 [Source:VB Community Annotation]
AGAP009664	0.885	0	0.523	0.001	0.433	0.292	0.014	0.176	0.234	0.002	0.013	0.006	0.015	0	0.001	0.124	0.869	0	""	nuclear receptor coactivator 2 [Source:VB Community Annotation]
AGAP002795	0.885	0.207	0.029	0	0	0.044	0.606	0.131	0.009	0.049	0.038	0.291	0	0.266	0	0.217	0.571	0	""	""
AGAP002635	0.885	0.812	0.688	0.944	0.295		0.705	0.126	0.104	0.036	0.834	0.002		0.005		0.511	0.186	0.176	Gr13	gustatory receptor 13 [Source:VB Community Annotation]
AGAP009256	0.885	0.181	0.039	0.155	0.112	0.935	0.606	0.722	0.897		0.958			0.691	0.865	0.279	0.416	0.527	Gr44	gustatory receptor 44 [Source:VB Community Annotation]
AGAP008059	0.885	0.036	0.035	0.43	0.768	0.609	0.202	0	0	0.628	0.123	0.049	0	0.787	0.161	0.709	0.122	0.001	CSP1	chemosensory protein 1 [Source:VB Community Annotation]
AGAP005851	0.885	0.397	0.266	0.989	0.686	0.394	0.499	0.179	0.112	0.353	0	0.831	0	0.082	0	0.921	0.006	0	""	cyclin-dependent kinase 10 [Source:VB Community Annotation]
AGAP001702	0.886	0.647	0.131	0	0.2	0.326	0.828	0.65	0.971	0.493	0	0.545	0	0.609	0	0	0.709	0	""	""
AGAP000756	0.886	0.319	0.082	0.948	0.128	0.949	0.005	0.03	0.686	0.023	0.087	0	0.535	0.013	0.458	0.004	0.266	0.093	""	carboxypeptidase M [Source:VB Community Annotation]
AGAP002825	0.887	0.472	0.41	0.376	0.694	0.886	0.667		0.695	0.775	0	0.819	0	0.577	0	0.806	0.332	0.044	PPO1	prophenoloxidase 1 [Source:VB Community Annotation]
AGAP006523	0.887	0.094	0.058	0.623	0.979		0.612		0.455			0.737				0.951	0.542	0.138	""	""
AGAP011006	0.887															0.925	0.983	0.936	""	""
AGAP004775	0.887	0.042	0.01	0	0.833	0.51	0.575	0.022	0.057	0.5	0.186	0.866	0.982	0.891	0.705	0.003	0.008	0.011	""	Xaa-Pro dipeptidase [Source:VB Community Annotation]
AGAP000656	0.887	0.431	0.183	0	0.182	0.876	0.116	0.69	0.278	0.046	0.052	0.195	0.103	0.223	0.159	0.408	0.061	0.123	""	Polypeptide N-acetylgalactosaminyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEH0]
AGAP003578	0.887	0	0.763	0	0.001	0.207	0.412	0.131	0.362	0.054	0.575	0.361	0.459	0.244	0.526	0.393	0.871	0.392	""	aldehyde dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP006367	0.887	0.225	0	0.07	0.006	0	0.777	0.976	0.347	0.537	0.406	0.886	0.006	0.394	0.292	0	0		""	""
AGAP011574	0.887	0.933	0.031	0.273	0.075	0.132	0.084	0.806	0.313	0.523	0.836	0.528	0.904	0.887	0.356	0.037	0	0	""	""
AGAP008099	0.887	0.022	0.179	0.03	0.826	0.922	0.585	0.713	0.668	0.158	0.21	0.246	0.193	0.421	0.333	0.681	0.505	0.534	""	Ubiquitin-fold modifier-conjugating enzyme 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PND3]
AGAP004541	0.888	0.001	0.01	0.311	0.474	0.246	0.609	0.739	0.559	0.017	0.692	0.049	0.282	0.007	0.842	0.134	0.459	0.237	""	""
AGAP003489	0.888	0.274	0.008	0.001	0.947	0.971	0.375	0.937	0.456	0	0	0.002	0.001	0	0	0.673	0.461	0.347	""	""
AGAP011660	0.889	0.002	0.007	0	0.003	0.625	0.224	0.088	0.075	0.932	0.139	0.238	0.857	0.82	0.267	0.015	0.102	0	""	""
AGAP006466	0.889	0.428									0.853					0.551	0.646	0.01	""	""
AGAP001177	0.889	0.012	0.011	0.02	0	0.674	0.956	0.72	0.918	0.713	0.618	0.852	0.324	0.873	0.524	0.06	0.124	0.021	""	Ca2+-triggered coelenterazine-binding protein 1 [Source:VB Community Annotation]
AGAP002130	0.889	0.681	0.932	0.289	0.529	0.709	0.562	0.754	0.312	0.57	0.193	0.884	0.296	0.757	0.234	0.099	0.911	0.031	""	tubulin-specific chaperone A [Source:VB Community Annotation]
AGAP003049	0.889	0.336	0.14	0.97	0	0.343	0.656	0.847	0.878	0.109	0.001	0.005	0	0.203	0.009	0.033	0.771	0.89	""	stearoyl-CoA desaturase (delta-9 desaturase) [Source:VB Community Annotation]
AGAP008199	0.889	0.125	0.016	0.178	0.167	0.492	0.262	0.254	0.212	0.151	0.011	0.066	0.003	0.13	0.01	0.932	0.099	0	""	""
AGAP009891	0.889	0.004	0	0.125	0.013	0.034	0.922	0.52	0.94	0.702	0.84	0.835	0.98	0.544	0.675	0.272	0.303	0.463	""	juvenile hormone esterase binding protein [Source:VB Community Annotation]
AGAP013169	0.889	0.542	0.791	0	0	0.207	0.553		0.129							0.585	0.245	0.007	""	""
AGAP000304	0.89	0.301	0.991	0.144	0.736	0	0	0	0	0	0.781	0	0.109	0.003	0.412	0.82	0.005	0.103	""	Protein twisted gastrulation [Source:VB Community Annotation]
AGAP009487	0.89	0.401	0.582	0.758	0.599	0.568	0.168	0.663	0.626	0.048	0.317	0.173	0.587	0.009	0.114	0.921	0.824	0.036	""	""
AGAP001697	0.89	0.933	0	0.811	0.322	0.78	0.25	0.26	0.004	0.75	0.028	0.577	0.006	0.3	0.128	0.618	0.045	0.001	""	20S proteasome subunit beta 3 [Source:VB Community Annotation]
AGAP003891	0.89	0.515	0.062	0.836	0.984	0.689	0.534	0.641	0.108	0.824	0	0.405	0	0.686	0	0.241	0.541	0.824	Thoc3	THO complex subunit 3 [Source:VB Community Annotation]
AGAP004161	0.89	0.308	0.001	0.923	0.698	0.045	0.653	0.023	0.362	0.535	0	0.782	0	0.679	0.008	0.683	0.349	0.315	""	myofilin variant C [Source:VB Community Annotation]
AGAP005308	0.89	0.41	0.569	0.036	0.002	0.818	0.863	0.788	0.514	0.992	0.485	0.728	0.224	0.985	0.451	0.001	0.705	0	""	""
