GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Bouake_gamb_exp_v_Bouake_Ki_log2FoldChange	Bouake_gamb_unexp_v_Bouake_Ki_log2FoldChange	Bouake_col_exp_v_Bouake_Ng_log2FoldChange	Bouake_col_unexp_v_Bouake_Ng_log2FoldChange	ContTia_v_CDI_Ng_log2FoldChange	DeltTia_v_CDI_Ng_log2FoldChange	MalaTia_v_CDI_Ng_log2FoldChange	PiriTia_v_CDI_Ng_log2FoldChange	BusiaParental_v_Kisumu_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP005105	-0.17	-0.14	-0.33	-0.56	-0.17	-0.13	-0.73	-0.57	-0.62	-0.75	0.09	0.37	-0.17	0.1	-0.23	0.04	0.24	0.35	0.41	0	0.39	0.49	0.17	0.25	0.71	0.32	0.31	0.21	-0.14	0.02	0.31	0.42	0.09	0.39	-0.79	""	""
AGAP011440	0.09	0.82	-0.03	-0.46	0.02	-0.17	-0.14	-0.13	0.22	0.11	-0.23	0.75	-0.09	0.88	0.07	1.04	-0.2	-0.59	-0.11	-0.29	-0.28	0.18	-0.28	0.42	-0.22	0.34	0.14	-0.01	0.2	1.26	1.5	0.89	1.49	0.02	-0.09	""	nucleolar protein 9 [Source:VB Community Annotation]
AGAP013109	1.62	0.16	1.27	0.09	-0.92	-0.08	-1.08	-1.22	-2.55	-4.47	-1.64	2.37	-1.99	2.04	-1.75	2.23	-3.14	-1.8	-2.93	-2.22	-2.32	0.64	-0.88	0.16	0.73	1.58	0.81	6.13	4.01	6.23	7.51	5.01	5.26	-1.92	-1.56	""	""
AGAP001313	0.07	-0.39	0.22	-0.28	0.45	0.2	0.41	0.22	0.09	0.41	-0.13	0.47	0.04	0.63	-0.02	0.58	0.06	0.06	0.18	0.19	0.33	-0.63	-0.22	-0.11	-0.32	-0.28	0.36	0.2	0.22	0.68	0.44	0.19	0.48	0.15	-0.25	""	Muscular protein 20 [Source:VB Community Annotation]
AGAP001475	0.08	-0.09	0.1	-0.04	-0.08	0.07	-0.26	-0.06	-0.15	-0.17	0.53	0.55	0.34	0.35	0.45	0.47	-0.21	-0.11	-0.23	-0.08	-0.23	0.57	0.34	0.49	0.69	-0.03	0.03	-0.2	-0.51	-0.47	-0.33	-0.15	-0.21	0.29	0.06	""	""
AGAP027982	0.14	-0.64	-0.2	-0.09	0.44	0.45	-1	-0.57	-0.72	-0.75	-0.55	-0.25	-0.92	-0.63	-0.82	-0.52	-0.03	0.1	-0.25	-0.02	-0.05	-0.77	-0.82	-0.75	0.86	0.17	-0.25	-0.16	-0.24	-0.51	-0.25	-0.31	-0.22	0.28	0.04	""	""
AGAP006445	-0.08	0.37	0.06	-0.08	-0.02	0.29	-0.06	-0.05	0.02	-0.06	-0.46	0.28	-0.22	0.52	-0.16	0.58	-0.61	-0.57	-0.43	-0.41	-0.57	-0.07	-0.13	-0.01	0.44	0.2	-0.03	-0.23	0.27	0.59	0.71	0.49	0.5	0.07	-0.3	""	COP9 signalosome complex subunit 3 [Source:VB Community Annotation]
AGAP008264	-0.08	-0.09	0.25	0.11	-0.22	-0.17	0.11	0.03	-0.27	-0.1	-0.15	0.36	-0.34	0.16	-0.49	0.02	0.11	-0.16	0.01	-0.08	0.09	0.04	0.33	0.52	1.15	-0.24	-0.25	0.09	0.29	0.45	0.34	0.43	0.46	-0.6	-0.41	""	Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GYF7]
AGAP007800	-1.49	-0.29	0.88	1.37	-1.01	0.64	0.43	1.63	0.21	0.42	-0.42	1.54	-1.47	0.47	-2.26	-0.29	-1.73	-1.99	-2.33	-2.51	-1.83	0.46	0	-0.9	-1.52	0.06	-0.34	0.67	-1.51	0.04	-0.53	-0.5	0.85	1.47	1.21	""	Hyperpolarization activated cyclic nucleotide-gated potassium channel [Source:VB Community Annotation]
AGAP004848	0.05	0.05	-0.08	-0.37	0	-0.09	-0.01	0.17	0.04	-0.01	0.08	-0.1	0.01	-0.17	0.02	-0.15	-0.32	-0.31	-0.25	-0.2	-0.33	-0.62	-0.11	-0.2	0.02	-0.08	0.38	-0.17	-0.16	-0.38	-0.2	-0.42	-0.49	0.15	-0.17	""	""
AGAP001695	-0.13	-0.18	0.04	0.16	-0.07	-0.24	-0.09	0.19	0.4	0.64	0.39	1.81	0.7	2.12	0.8	2.21	-0.12	-0.28	0.04	-0.15	-0.16	0.77	0.37	0.47	-0.13	-0.03	0.12	0.54	0.09	-0.55	-0.54	-0.29	-0.27	0.15	0.22	""	""
AGAP005208	0.31	-2.51	0.69	-0.09	-1.41	-0.56	0.19	0.52	-0.55	-0.82	0.17	0.14	-0.79	-0.82	-0.72	-0.75	1.7	0.89	2.3	2.59	1.99	0.58	0	0.92	-0.46	-0.92	0.12	-1.47	-0.64	0	1.41	-1.17	-0.9	1.61	0.89	OBP20	odorant-binding protein 20 [Source:VB Community Annotation]
AGAP011344	-0.07	0.12	0.12	-0.22	0.31	0.32	0.09	-0.55	-0.5	-0.54	0.25	-0.09	0.18	-0.17	0.3	-0.04	-0.33	-0.61	-0.05	-0.21	-0.11	-0.38	-0.29	-0.53	-0.29	0.02	0.04	-0.1	-0.06	-0.56	-0.26	-0.51	-0.53	0.08	-0.28	""	""
AGAP000747	-0.05	0.05	0.56	0.2	-0.15	-0.16	-0.03	-0.4	-0.26	-0.13	0.1	-0.02	0.13	0.01	0.23	0.11	0.28	0.12	0.17	0.09	0.02	0.75	0.52	0.65	-0.22	-0.15	-0.05	-0.21	-0.32	0.1	0.05	-0.11	0.08	-0.51	-0.43	""	mitogen-activated protein kinase kinase kinase 5 [Source:VB Community Annotation]
AGAP003212	0.07	0.24	0.14	-0.24	-0.06	-0.31	0	-0.4	-0.11	-0.41	-0.63	-0.45	-0.67	-0.5	-0.55	-0.38	-0.21	-0.23	-0.28	-0.13	-0.16	-0.19	-0.19	-0.19	0.19	-0.04	-0.01	-0.22	-0.1	-0.69	0.07	-0.72	-0.69	0.17	0.21	Adrenodoxin	""
AGAP008645	-0.16	0.69	-0.45	-0.64	1.01	0.64	0.04	1.22	0.03	-0.78	1.27	-1.43	1.59	-1.11	1.49	-1.2	1.52	1.26	0.88	0.09	0.97	1.71	1.29	0.9	2.01	0.48	0.27	-0.44	0.04	-1.04	-1.06	-0.77	-0.47	0.23	0.82	GAM1	gambicin anti-microbial peptide [Source:VB Community Annotation]
AGAP002512	-0.13	0.33	0.09	-0.05	-0.03	-0.03	-0.45	-0.42	-0.53	-0.48	-0.01	-0.1	0.06	-0.03	-0.09	-0.18	-0.73	-0.79	-0.22	-0.49	-0.41	0.29	0.5	0.25	-0.41	-0.11	-0.11	-0.41	-0.51	-0.81	-0.65	-0.69	-0.68	-0.17	-0.17	""	protein FRG1 [Source:VB Community Annotation]
AGAP010151	-0.15	0.02	0.5	-0.04	1.01	0.62	0.88	0.59	0.95	1.27	-0.92	-0.16	-0.45	0.29	-0.24	0.51	-0.66	-0.67	-0.46	-0.61	-0.32	-0.24	-0.57	-0.15	0.04	-0.46	0.53	0.32	0	0.16	0.4	0.01	-0.03	0.94	0.72	""	""
AGAP002601	-0.57	-0.12	1.83	-0.24	1.6	1.82	-0.12	-0.02	-1.95	-1.61	0.4	0.31	-0.03	-0.14	-0.7	-0.81	0.69	0.76	0.89	0.75	0.88	-1.34	0.98	-0.29	0.57	0.75	2.21	0.02	-0.03	0.07	-0.78	-0.19	0.41	1.52	2.01	""	nervous fingers [Source:VB Community Annotation]
AGAP008189	-0.87	1.24	-0.26	1.02	-0.54	-0.2	-0.24	-0.2	-0.49	-0.24	-0.21	0.74	-0.68	0.26	-0.36	0.6	1.34	1.24	-0.26	-0.01	0.52	1.28	2.29	1.46	0.15	-0.89	-0.84	-1.45	-0.59	1.66	-0.29	0.72	0.52	0.34	0.03	""	""
AGAP008404	0.37	-0.17	-1.06	-0.9	0.65	0.79	-1.96	-3.24	-3.34	-3.14	0.83	2.69	0.25	2.11	0.06	1.91	-0.48	-0.89	-0.39	-0.53	-0.33	0.01	0.04	0.04	0.26	1.94	1.72	0.36	-0.15	-0.49	0.83	0.8	0.31	0	-0.33	""	""
AGAP002044	-1.38	1.45	1.28	1.28	1.99	-0.5	-1.53	-0.56	-0.41	-0.05	1.76	0.84	0.42	-0.5	0.4	-0.51	-0.04	-0.27	-1.27	-1.71	-0.96	0.03	0.71	-1.42	1.65	0.22	1	-2.36	-2.77	-1.26	-2.63	-1.55	-0.04	1.02	1.26	Or77	odorant receptor 77 [Source:VB Community Annotation]
AGAP005547	-0.19	0.12	-0.78	-1.16	0.71	0.49	-0.12	-0.68	-0.61	-0.91	0.17	0.78	0.63	1.23	-0.62	0.01	2.27	2.83	3.34	2.85	3.56	-2.16	-0.76	-2.29	2.56	-0.25	1.2	-0.57	-1.63	-0.69	-1.8	-2.9	-3.64	1.25	0.71	""	alpha-crystallin B chain [Source:VB Community Annotation]
AGAP011487	-0.07	0.18	0.09	-0.1	0.63	0.49	-0.5	-0.65	-0.1	-0.04	0.74	1.06	0.64	0.96	0.8	1.11	0.01	-0.26	-0.18	-0.14	-0.29	0.13	0.17	0.24	0.21	0.18	0.36	-0.06	0.07	0.63	-0.02	0.34	0.77	0.35	0.47	""	E3 ubiquitin-protein ligase SH3RF [Source:VB Community Annotation]
AGAP009008	-0.52	-0.37	-1.57	-0.16	0.29	0.26	0.21	-0.39	-0.98	-0.65	-0.05	0.4	0.43	0.88	-0.08	0.37	-1.05	-0.84	-1.7	-2.24	-1.53	0.48	0.52	0.71	-0.45	0.27	0.54	-0.78	-0.54	0.07	0.21	-0.45	0.7	0.85	1.19	""	""
AGAP003222	-0.12	0.73	-0.11	0.03	-0.17	0.21	-0.2	0.04	0.07	-0.15	0.25	0.21	0.29	0.24	0.04	-0.01	-0.35	-0.55	-0.64	-0.48	-0.55	-0.56	-0.2	0.17	0.27	0	-0.28	-0.21	0.01	0.23	0.57	0.52	0.66	0.02	-0.15	""	phosphatidylinositol glycan, class N [Source:VB Community Annotation]
AGAP006716	-1.22	-2.59	-0.49	0.31	0.36	-0.1	-2.1	-1.28	-1.74	-0.33	-0.09	-0.97	-0.93	-1.86	1.18	0.3	0.82	0.32	0.42	0.01	0.15	0.47	1.03	0.28	-0.3	-1.27	-0.76	-1.92	-1.78	-0.93	-2.53	-0.89	-1.81	-0.77	-0.85	Gr27	gustatory receptor 27 [Source:VB Community Annotation]
AGAP006073	0.35	-0.89	0.25	0.32	0.33	-0.22	-1.51	-2.52	-1.62	-1.81	0.72	-0.47	0.59	-0.61	1.11	-0.1	0.21	0.42	0	0.19	0.21	0.22	0.6	0.34	0.09	-1.15	-1.45	-1.45	-1.85	-1.29	-1.92	-1.6	-0.8	0.14	0.29	""	""
AGAP011355	0.14	-0.99	0.17	0.37	0.05	-0.01	-0.69	-0.93	-1.67	-1.75	1.41	-0.07	0.99	-0.49	0.91	-0.57	1	1.09	1.11	1.24	1.28	0.29	0.48	0.24	-0.25	-0.74	-0.57	-0.3	-0.56	-0.78	-0.18	-0.48	-0.75	-0.87	-0.19	""	""
AGAP000806	0.21	-0.58	0.22	-0.35	0.21	-0.4	-0.52	-1.58	-2.01	-1.7	-0.39	0.6	-0.45	0.54	-0.41	0.58	-0.44	-0.37	0.15	-0.34	0.05	0.34	0.21	0.62	-0.24	0.34	0.53	0.3	-0.32	-0.09	0.15	0.05	0.31	-0.81	-1.42	""	Angiopoietin-like 1 [Source:VB Community Annotation]
AGAP000794	0.06	-0.26	0.08	-0.74	-0.01	-0.17	0.61	-0.5	-0.66	-0.79	-0.53	-1.25	-0.47	-1.2	-0.33	-1.05	0.49	0.54	0.75	0.65	0.94	-0.55	-0.52	-0.82	-1.19	-0.01	0.31	0.36	-0.21	-2.3	-1.25	-2.03	-2.41	-0.58	-0.57	""	NADH dehydrogenase (ubiquinone) Fe-S protein 2 [Source:VB Community Annotation]
AGAP001530	-0.21	-0.58	0.23	-0.2	0.27	-0.27	-0.86	-0.8	-1.94	-1.57	0.14	0.2	0.19	0.25	0.23	0.29	-1.18	-0.88	-0.89	-0.73	-0.65	1.22	0.45	0.38	-0.06	-0.13	-0.32	-0.38	-0.54	-0.1	0.67	0.34	0.15	-0.62	-0.79	""	""
AGAP009992	0.1	0.08	-0.28	-0.21	-0.21	-0.25	-0.11	0.01	-0.09	-0.05	0.16	0.27	0.12	0.21	0.03	0.13	-0.36	-0.23	-0.2	-0.41	-0.49	0.17	0.05	0.1	-0.1	0.02	-0.05	0	-0.07	-0.23	-0.02	-0.01	-0.23	0.1	0.1	""	inhibitor of growth protein 4 [Source:VB Community Annotation]
AGAP012606	-0.37	-0.26	0.62	-1.22	1.46	-0.28	1.06	1.75	0.77	0.35	0.6	0.31	0.51	0.22	0.65	0.35	-0.24	-0.15	-0.01	-0.15	-0.15	-0.32	-0.19	-0.02	0.03	-0.09	0.38	0.19	0.05	0.1	0.53	0.15	0.42	-0.24	-0.44	""	golgi phosphoprotein 3 [Source:VB Community Annotation]
AGAP011481	-0.25	-0.83	0.71	0.4	0.27	-0.36	0.41	1.62	1.67	1.75	0.3	-2.03	1.12	-1.25	0.66	-1.71	0.7	0.31	0.2	0.16	-0.08	-0.26	-0.7	-0.76	0.16	-0.17	-0.06	-0.72	0.18	-0.25	-1.18	-0.75	-0.24	1.8	1.38	GPR5HT1B	putative serotonin 5HT-1b receptor [Source:VB Community Annotation]
AGAP028434	-0.38	-0.61	-0.35	0.32	-0.83	-1	-0.42	-0.02	0.04	0.03	-1.72	-2.97	-1.55	-2.81	-1.04	-2.29	0.21	0.32	-0.14	-0.62	0.06	0.17	1.9	-0.63	0.64	-1.47	-0.56	-0.35	-1.18	-2	-1.63	-1.69	-1.35	0.56	-0.18	""	""
AGAP008067	0.97	-1.55	0.43	-1.46	-1.18	0.03	0.89	0.81	0.92	-0.09	1.08	1.59	1.6	2.12	1.15	1.66	-2.31	-1.64	-2.86	-3.2	-2.6	0.11	0.45	-0.65	2.06	-0.54	-0.47	1.5	1.37	2.77	3.81	0.47	3.48	1.4	2.67	""	""
AGAP007703	-0.12	0.41	0.17	-0.26	-0.45	-0.24	-0.42	-0.27	-0.63	-0.39	-0.11	0.08	-0.3	-0.12	-0.34	-0.17	-0.37	-0.51	-0.33	-0.37	-0.46	0.43	0.37	0.45	0.07	0.31	0.07	0.07	0.13	0.46	0.45	0.43	0.45	0.61	0.44	""	""
AGAP012118	-0.08	-0.28	0.19	-0.13	-0.15	-0.17	-0.27	-0.47	-0.47	-0.27	-0.01	0.01	0.06	0.08	0.06	0.08	-0.11	-0.28	-0.26	-0.19	-0.34	-0.19	-0.06	-0.14	-0.15	0.12	0.18	-0.01	-0.19	-0.09	0	-0.05	0.05	-0.18	-0.35	""	FGFR1 oncogene partner 2-like protein [Source:VB Community Annotation]
AGAP002015	-0.07	-0.27	0.17	0.25	-0.07	0.12	0.04	-0.04	-0.06	0.11	0.5	0.07	0.41	-0.03	0.38	-0.06	0.42	0.31	0.18	0.39	0.18	0.42	0.55	0.71	0.03	-0.14	0.21	-0.24	-0.16	-0.22	0.07	-0.4	-0.22	-0.07	0.09	""	dynein heavy chain 1, cytosolic [Source:VB Community Annotation]
AGAP006407	0.51	-1.02	1.25	0.34	1.29	0.66	1.8	1.51	1.68	2.43		0.33		0.2		0.03	-3.83	-4.09	-5.52	-5.88	-4.77	-1.58			0.04	-0.52	-0.54	-0.29	0.02	-0.34	-0.7	-0.36	-0.59	0.41	1.84	IR142	ionotropic receptor IR142 [Source:VB Community Annotation]
AGAP006648	-0.11	-0.04	0.06	-0.04	0.05	-0.24	-0.05	0.24	0.1	0.19	-0.08	-0.19	-0.15	-0.27	-0.23	-0.35	0.1	-0.11	0.19	-0.07	0.07	-0.36	-0.18	-0.06	0.06	-0.44	-0.14	-0.45	-0.52	-0.7	-0.6	-0.7	-0.6	-0.76	-0.54	Exo6	exocyst complex component 6 [Source:VB Community Annotation]
AGAP001259	0.24	1	0.42	-0.33	0.13	-0.06	-0.02	0.49	0.64	0.48	-0.36	-0.19	-0.08	0.08	-0.32	-0.15	-0.3	-0.6	-0.29	-0.28	-0.43	0.68	0.64	0.84	0.18	-0.31	0.67	-0.46	-0.11	0.31	-0.43	-0.02	0.17	-0.05	-0.26	""	""
AGAP007131	0.06	-0.23	0.05	0.1	-0.08	0.1	0.06	0.09	0.23	0.18	0.47	0.09	0.41	0.03	0.39	0.01	0	0	0.1	0.11	0.05	-0.32	-0.17	-0.28	0.12	0.03	0.31	0.31	0.33	0.41	0.38	0.29	0.53	-0.31	-0.47	""	AP-2 complex subunit mu-1 [Source:VB Community Annotation]
AGAP007855	0.2	-0.13	-0.27	-0.73	0.29	0.07	0.47	0.8	1.57	1.31	0.56	1.63	-0.02	1.04	0.74	1.8	-0.3	-0.46	-0.81	-0.89	-0.82	-1.43	-0.93	-1.43	-0.34	0.04	0.12	0.35	0.76	2.3	2.69	2.25	2.14	0.39	0.04	""	aurora kinase, other [Source:VB Community Annotation]
AGAP012462	0.87	-0.01	0.54	0.6	-2.94	-1.25	1.18	0.21	-0.18	1.82	-0.14	1.12	0.23	1.48	-1.23	0.03	0.6	0.55	0.34	0.03	0.96	-0.08	1.39	-0.26	-1.25	-2.61	-2.49	0.18	-0.87	-0.17	0.16	-0.74	0.28	-0.73	-0.89	CPR147	cuticular protein RR-2 family 147 [Source:VB Community Annotation]
AGAP003346	0.07	0.08	0.25	0.12	-0.01	0.26	-0.19	-0.07	-0.36	-0.24	0.35	-0.15	0.2	-0.31	0.29	-0.21	-0.25	-0.42	-0.08	-0.19	-0.19	0.02	-0.19	0.04	0.11	0.15	0.28	0.01	0.04	-0.28	-0.15	-0.32	-0.31	0.02	-0.44	""	WD and tetratricopeptide repeats protein 1 [Source:VB Community Annotation]
AGAP011468	-0.97	1.45	1.9	0.93	0.88	0.93	2.11	0.2	0.98	-0.09	-1.57	1.01	-0.99	1.58	-1.46	1.12	-0.04	-0.34	-0.82	-1.51	-0.27	0.75	-0.01	-0.85	-0.25	-2.55	-1.67	1.31	1.36	0.7	2.75	-0.03	-0.77	-1.57	-1.44	Or4	odorant receptor 4 [Source:VB Community Annotation]
AGAP004378	-0.14	1.17	0.7	0.23	1.17	0.48	-0.05	-0.07	-1.19	-1.53	0.41	2.55	0.06	2.2	0.29	2.43	-0.05	-0.5	-0.71	-0.45	-0.07	0.76	1.94	1.12	0.65	-0.13	0.52	0.73	0.46	1.21	1.3	0.16	0.23	-0.8	-0.77	GSTD11	glutathione S-transferase delta class 11 [Source:VB Community Annotation]
AGAP001170	-1.33	0.33	-0.37	0.67	-0.53	2.5	-4.15	-1.17	-2.5	-1.64	0.51	-0.95	0.04	-1.41	0.92	-0.55	-0.31	0.46	-1.12	-1.94	-0.91	0.4	0.19	1.22	1.22	-1.15	-0.79	-0.35	0.04	1.59	-0.09	0.13	0.1	-1.34	-0.12	Gr48	gustatory receptor 48 [Source:VB Community Annotation]
AGAP009733	-0.14	0.25	0.79	0.33	-0.99	-0.74	0.08	0.45	0.84	1.1	-0.59	-1.21	-0.48	-1.12	-0.24	-0.86	-1.3	-0.74	-1.55	-1.32	-1.49	-0.43	-0.19	-0.12	-1.06	-1.13	-0.75	-1.08	-1.26	-1.61	-1.68	-1.54	-1.49	-0.78	-1.07	""	wingless-type MMTV integration site family, member 6 [Source:VB Community Annotation]
AGAP001491	-0.09	0.43	0.08	-0.11	-0.53	-0.49	-0.01	0.23	-0.02	0.13	-0.16	-0.27	-0.17	-0.29	-0.37	-0.48	-0.53	-0.48	-0.22	-0.46	-0.41	0.48	0.33	0.47	0.1	0.21	0.01	0.21	0.1	-0.41	-0.09	-0.31	-0.36	-0.13	-0.24	""	Leucine-rich repeat-containing protein 57 [Source:VB Community Annotation]
AGAP007760	0.13	-0.09	-0.7	0.5	-1.55	-1.44	0.26	0.53	0.07	-0.12	-0.27	-2.45	-0.45	-2.64	-0.33	-2.51	0.25	0.64	0.47	0.44	0.65	-0.39	-0.32	-0.43	-0.52	-1.8	-2	-0.55	-0.45	-1.63	-1.69	-1.9	-1.59	-1.27	-0.57	""	""
AGAP010700	0.08	-0.03	0.14	0.02	0.2	0.13	0.09	0.03	0.27	0.27	0.53	0.45	0.58	0.5	0.42	0.33	-0.38	-0.72	-0.4	-0.52	-0.68	0.12	-0.03	0.21	0.53	0.11	0.08	-0.05	0.2	0.46	0.32	0.36	0.49	0.07	0.09	""	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin [Source:VB Community Annotation]
AGAP008233	0.16	0.26	0.01	-0.19	-0.3	-0.59	-0.35	-0.2	-0.22	-0.42	-0.17	-0.1	0.08	0.14	-0.11	-0.04	0.04	-0.15	0.05	-0.19	-0.04	0.15	-0.18	0.24	0.03	0	-0.33	-0.04	-0.11	-0.23	0.27	-0.24	-0.13	-0.29	-0.47	""	""
AGAP028012	0.09	-0.05	0.07	-0.14	-0.29	-0.08	-0.05	-0.07	0.32	0.16	0.1	-0.26	0.2	-0.17	0.48	0.11	0.44	2.39	0.44	0.14	0.03	0.15	0.05	0.49	0.09	-0.73	-0.33	-0.51	-0.43	0.22	0.74	-0.03	0.29	-0.13	-0.11	""	""
AGAP011255	-0.09	0.23	0.05	0.3	0.43	0.49	-0.07	-0.2	0.28	0.39	0.94	0.38	0.88	0.31	1.17	0.59	0.16	-0.28	0.22	0.58	0.21	0.62	0.6	0.63	0.16	0.14	0.31	0.22	0.51	0.26	-0.69	0.01	0.22	-0.17	-0.19	""	""
AGAP009776	0.11	-0.35	-0.82	-0.32	0.08	0.1	-0.26	-0.56	-0.46	-0.39	-0.04	0.15	-0.11	0.06	-0.18	0	-0.08	0.34	-0.2	-0.02	-0.18	-0.14	-0.24	-0.31	-0.6	0	-0.07	0.15	0.02	0.26	0.62	0.47	0.16	0.74	0.45	""	anoctamin-10 [Source:VB Community Annotation]
AGAP028403	-1.53	-0.16	0.56	1.38	-0.65	-1.53	-1.62	-0.36	0.4	0.19	0.54	0.59	-0.13	-0.09	-0.3	-0.26	-3.23	-3.26	-4.5	-4.41	-3.7	-0.53	-1.89	-1	-0.82	-0.12	-0.14	-0.6	-0.57	1.92	2	-0.37	2.65	-1.03	-0.44	""	""
AGAP003728	0.1	0.95	-0.01	-0.56	0.06	-0.44	-0.12	-0.15	-0.25	-0.24	-0.54	-0.16	-0.31	0.07	-0.39	0	-0.13	-0.91	-0.21	-0.24	0.01	-0.31	-0.35	-0.06	0.41	0.35	0.13	-0.11	0.06	0.29	0.57	0.33	0.3	0.07	-0.45	""	Uncharacterized methyltransferase WBSCR22 [Source:VB Community Annotation]
AGAP008569	-0.46	0.56	0.19	1.06	-0.52	0.09	0.13	1.13	0.66	0.34	-0.64	-0.66	-1	-1.02	-1.16	-1.17	0.32	-0.02	-0.31	-0.26	-0.19	1.07	1.05	0.94	0.86	-0.87	-0.75	-0.54	0.12	-0.28	-1.07	-0.34	-1.04	0.32	1.06	""	T-box protein 20 [Source:VB Community Annotation]
AGAP002414	-0.05	-0.51	0.36	0.25	-0.35	-0.06	0.08	-0.17	-0.31	-0.09	0.43	-0.15	0.31	-0.27	0.21	-0.37	0.23	0.14	0.27	0.38	0.37	-0.45	-0.38	-0.33	-0.91	0.28	0.38	0.29	0.26	0.02	-0.04	-0.18	0.02	-0.26	-0.3	""	carboxypeptidase D [Source:VB Community Annotation]
AGAP002956	0.12	0.56	0.26	-0.28	0.09	0.07	0.49	0.44	0.22	0.13	-0.49	0.97	-0.39	1.06	-0.51	0.95	0.15	-0.02	0.24	0.16	0.33	0.06	0.03	0.25	0.32	0.48	0.34	0.25	0.6	1.03	1.03	0.74	0.86	0.08	-0.2	""	splicing factor U2AF 35 kDa subunit [Source:VB Community Annotation]
AGAP003176	0.2	-1.05	-0.81	-0.2	-0.1	0.86	0.9	0.57	-0.16	0.99	-0.25	0.62	-0.65	0.2	-0.56	0.3	-1.13	-2.05	-1.3	-1.51	-0.85	-0.29	-0.69	0.03	-0.6	-1.16	-0.25	0.18	-0.29	0.27	0.16	0.32	0.22	-0.41	-0.33	""	solute carrier family 23 (nucleobase transporter) [Source:VB Community Annotation]
AGAP002580	0.11	0.16	0.2	-0.22	-0.28	-0.49	-0.46	-0.32	-0.17	-0.19	-0.11	0.84	0.2	1.13	0.4	1.33	-0.18	-0.18	-0.36	-0.14	-0.49	0.48	0.1	0.55	0.9	-0.04	-0.41	-0.31	-0.11	1.98	2.43	1.98	1.97	-0.69	-0.98	""	DNA helicase [Source:VB Community Annotation]
AGAP002248	0.19	-0.56	-0.29	-0.73	0.75	1.1	0.49	0.37	1.22	0.84	-0.09	1.66	-0.89	0.86	0.55	2.3	0	0	-0.37	-0.42	-0.46	-0.9	-0.78	-1.22	0.21	0.62	0.23	-0.09	0.25	1.5	2.49	2.01	1.97	0.57	0.36	""	kinesin family member C1 [Source:VB Community Annotation]
AGAP004034	-0.37	0.98	-0.37	0.81	-0.28	-0.3	-0.1	0.99	0.97	1.17							0.37	-0.06	0.1	0.26	-0.03	0.43	0.62	0.98	0.69	-0.48	-0.32	-0.39	-0.32	-0.46	-1.31	-0.84	-0.86	0.11	0.55	GPRNNA4	putative GPCR class a orphan receptor 4 [Source:VB Community Annotation]
AGAP011309	0.05	0.36	0.68	-0.02	0.12	0.03	0.03	0.17	-0.03	-0.01	-0.3	-0.13	0.03	0.19	0.01	0.19	-0.17	-0.15	0.13	-0.03	-0.04	0.71	0.43	0.97	-0.44	0.11	0.02	-0.1	-0.03	0.28	0.52	-0.3	0.18	-0.59	-0.47	""	nuclear GTP-binding protein [Source:VB Community Annotation]
AGAP009307	0.09	0.43	0.24	-0.35	0.08	-0.1	-0.18	-0.42	-0.2	-0.26	-0.11	0.97	0.2	1.27	0	1.08	-0.4	-0.39	-0.24	-0.27	-0.37	0.13	-0.11	0.25	0.3	0.46	0.18	0.09	0.43	1.16	1.05	1.03	1.16	-0.15	-0.29	""	bromodomain-containing protein 7/9 [Source:VB Community Annotation]
AGAP000305	-0.06	-0.11	-0.24	0.08	0	0.04	-0.76	-1.21	-1.25	-1.45	0.46	-0.43	0.01	-0.88	0.08	-0.8	0.44	0.46	0.89	0.54	0.73	-0.24	-0.14	-0.49	-1.46	-0.17	-0.57	-0.26	-0.45	-0.78	-0.78	-0.47	-0.61	-0.5	-0.39	""	SPARC [Source:VB Community Annotation]
AGAP009399	-0.15	-0.32	-0.02	-0.04	1.63	0.37	-0.34	-0.32	-0.15	-0.07	0.13	0.28	0.05	0.18	0.87	1.01	-0.08	-0.19	-0.19	-0.21	-0.31	-0.02	0.18	0.18	-0.13	0.74	0.92	-0.18	0.13	0.24	-0.47	-0.22	-0.23	-1.03	-0.82	""	nuclear hormone receptor FTZ-F1 beta [Source:VB Community Annotation]
